ID,game,speaker,coder,number,emotion,socbehav,affiliation
51091,MANNERS,parent,MM,10.79,1.02,12.42,5.09
51067,MANNERS,parent,SS,5.98,0.87,8.58,0.87
51077,MANNERS,parent,CK,6.91,0.82,6.91,2.14
51052,MANNERS,parent,SS,6.57,0.59,10.32,2.81
51084,MANNERS,parent,CK,4.72,1.93,14.59,2.15
51073,MANNERS,parent,CK,6.46,0.55,8.75,2.52
51016,MANNERS,parent,MM,11.95,2.08,7.79,2.08
51083,MANNERS,parent,CK,8.37,0.72,7.42,1.67
51082,FRIENDSHIP,child,SS,8.09,5.66,4.58,0.81
51014,FRIENDSHIP,child,MM,11.27,2.94,7.35,3.43
51072,FRIENDSHIP,child,SS,11,3.67,5.17,3
51013,FRIENDSHIP,child,CK,9.89,3.85,4.95,1.1
51026,FRIENDSHIP,child,MM,6.94,3.21,4.87,2.59
51048,FRIENDSHIP,child,MM,6.18,5.26,3.66,4.81
51091,FRIENDSHIP,child,MM,31.31,0,4.04,4.04
51043,FRIENDSHIP,child,CK,11.4,4.39,5.26,2.63
51084,FRIENDSHIP,child,CK,19.51,8.54,6.1,1.22
51052,FRIENDSHIP,child,SS,8.7,2.8,5.28,3.11
51065,FRIENDSHIP,child,MM,13.92,4.12,3.61,0.52
51034,FRIENDSHIP,child,SS,9.15,1.83,7.09,1.14
51088,FRIENDSHIP,child,CK,16.53,4.96,4.13,0.83
51046,FRIENDSHIP,child,MM,20.92,0.84,6.28,4.6
51023,FRIENDSHIP,child,CK,8.9,8.47,5.51,2.12
51079,FRIENDSHIP,child,MM,10.37,4.27,8.54,0.61
51057,FRIENDSHIP,child,CK,4.69,1.56,18.75,1.56
51081,FRIENDSHIP,child,SS,12.83,4.81,7.49,4.81
51005,FRIENDSHIP,child,SS,7.24,7.89,3.29,0.66
51032,FRIENDSHIP,child,MM,13.45,4.48,4.48,0.9
51009,FRIENDSHIP,child,SS,16.79,0.36,4.64,2.86
51067,FRIENDSHIP,child,SS,11.18,1.97,5.92,2.63
51035,FRIENDSHIP,child,CK,8.95,2.56,3.51,2.56
51033,FRIENDSHIP,child,SS,14.69,1.9,4.74,0
51004,FRIENDSHIP,child,SS,30.43,1.45,5.8,0
51062,FRIENDSHIP,child,MM,7.41,2.47,6.17,2.29
51008,FRIENDSHIP,child,SS,25.88,7.06,4.71,0
51083,FRIENDSHIP,child,CK,14.62,1.42,8.02,0
51080,FRIENDSHIP,child,MM,24.18,3.3,6.59,2.2
51077,FRIENDSHIP,child,CK,18.95,5.23,8.5,2.61
51021,FRIENDSHIP,child,SS,20.54,0,11.61,0
51073,FRIENDSHIP,child,CK,9.82,5.52,4.29,1.84
51011,FRIENDSHIP,child,CK,21.8,1.5,7.52,8.27
51016,FRIENDSHIP,child,MM,16.33,4.08,6.8,2.04
51022,FRIENDSHIP,child,CK,5.47,0.78,6.25,3.13
51022,FRIENDSHIP,parent,CK,7,4.02,3.1,2.64
51034,FRIENDSHIP,parent,SS,5.73,4.07,5.36,1.85
51073,FRIENDSHIP,parent,CK,5.31,6.05,5.16,1.47
51088,FRIENDSHIP,parent,CK,1.28,8.97,11.54,3.85
51011,FRIENDSHIP,parent,CK,6.34,3.86,6.06,2.75
51021,FRIENDSHIP,parent,SS,6.75,4.45,6.75,0.94
51065,FRIENDSHIP,parent,MM,9.43,7.68,4.39,3.29
51062,FRIENDSHIP,parent,MM,5.29,5.21,4.58,3.24
51008,FRIENDSHIP,parent,SS,9.32,3.73,5.28,1.24
51033,FRIENDSHIP,parent,SS,8.48,5.2,5.2,0.39
51091,FRIENDSHIP,parent,MM,7.86,7.38,5.71,2.38
51026,FRIENDSHIP,parent,MM,2.06,3.18,4.79,1.79
51057,FRIENDSHIP,parent,CK,11.13,4.57,5.96,0.99
51067,FRIENDSHIP,parent,SS,6.19,2.79,4.85,1.94
51081,FRIENDSHIP,parent,SS,9.97,4.99,3.6,1.66
51013,FRIENDSHIP,parent,CK,5.56,5.56,6.94,2.31
51005,FRIENDSHIP,parent,SS,11.42,5.02,7.31,3.2
51035,FRIENDSHIP,parent,CK,5.49,3.54,5.13,1.95
51072,FRIENDSHIP,parent,SS,8.11,5.89,6.66,2.99
51046,FRIENDSHIP,parent,MM,10.53,3.95,5.26,2.63
51077,FRIENDSHIP,parent,CK,5.36,2.68,5.51,1.34
51052,FRIENDSHIP,parent,SS,2.8,3.61,6.22,1.62
51016,FRIENDSHIP,parent,MM,5.83,6.47,6.8,4.21
51084,FRIENDSHIP,parent,CK,4.9,5.41,3.99,1.29
51083,FRIENDSHIP,parent,CK,4.61,3.35,7.26,0.42
51004,FRIENDSHIP,parent,SS,12.53,4.63,4.09,2.18
51048,FRIENDSHIP,parent,MM,4.67,2.9,6.28,3.22
51043,FRIENDSHIP,parent,CK,15.07,3.2,3.65,4.11
51080,FRIENDSHIP,parent,MM,8.12,7.14,4.87,2.92
51009,FRIENDSHIP,parent,SS,8.69,4.25,2.7,1.93
51032,FRIENDSHIP,parent,MM,7.07,4.67,3.68,1.98
51014,FRIENDSHIP,parent,MM,6,2.86,3.68,1.5
51082,FRIENDSHIP,parent,SS,6.1,4.42,4.88,3.51
51079,FRIENDSHIP,parent,MM,6.8,5.6,5.07,1.47
51023,FRIENDSHIP,parent,CK,4.54,5.53,8.08,0.88
